
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100

// --------------------------------------------------
<Trader> Medical  Trader 0//0
    
	<Category> Medical Supplies
    
		Rag,					100,	30,		-1
		BandageDressing,		2,		80,		-8
		BloodTestKit,			*,		130,	-8
		InjectionVial,		    *,		178, 	-8
		Thermometer,			*,		20,		-8
		DisinfectantSpray,		*,		99,     -3
		Heatpack,				*,		60,	    -8
		StartKitIV,				*,		78,	    -8
		SalineBag,				*,		100,	-8
		Ammo_DartSyringe,		*,		320,	-8
        BloodBagEmpty,			*,		120,	-8
		FirstAidKit,			*,		300,	-5
		Defibrillator,		    *,		2500, 	-5

   	    ClearSyringe,			        *, 30, 	-8
        BloodSyringe,			        *, 30, 	-8        
        Ammo_DartSyringe,		        *, 130,	-8       
		
		DisinfectantAlcohol,	*,		300,		-8
		
		CharcoalTablets,		*,		78,		-5
		VitaminBottle,			*,		78,		-2
		TetracyclineAntibiotics,*,		78,		-2
		PainkillerTablets,		*,		78,		-1
		
		Epinephrine,			*,		600,		-5
		Morphine,				*,		600,		-1

// --------------------------------------------------
<Trader> Food  Trader 1//1
	
	<Category> Fire & Lights
	
		Chemlight_Blue,			*,		20,		-1
		Chemlight_Green,		*,		20,		-1
		Chemlight_Red,			*,		20,		-1
		Chemlight_White,		*,		20,		-1
		Chemlight_Yellow,		*,		20,		-1
		------------------------------------------------------------, *, -1, -1			
		Pot,					M,		60,		-10
		------------------------------------------------------------, *, -1, -1	
		Roadflare,				*,		100,		-2
		Matchbox,				*,		10,		    -3		
		PetrolLighter,			*,		45,		    -3	
		------------------------------------------------------------, *, -1, -1			
		PortableGasLamp,		*,		250,		-10
		PortableGasStove,		*,		180,		-15	
		------------------------------------------------------------, *, -1, -1			
		Blowtorch,				*,		300,		-20
		------------------------------------------------------------, *, -1, -1			
		Headtorch_Black,		*,		200,		-20
		Headtorch_Grey,			*,		200,		-20	
		------------------------------------------------------------, *, -1, -1			
		Flashlight,				*,		80,		    -5	
 		------------------------------------------------------------, *, -1, -1	
		SewingKit,				*,		450, 	200
		LeatherSewingKit,		*,		450, 	200
		WeaponCleaningKit,		*,		1300, 	400
		ElectronicRepairKit,	*,		900,	300
		------------------------------------------------------------, *, -1, -1				
		AlarmClock_Blue,         *,      -250,   60       
        AlarmClock_Green,        *,      -250,   60     
        AlarmClock_Red,          *,      -250,   60
		KitchenTimer,            *,      -250,   60	
		------------------------------------------------------------, *, -1, -1	
		Bear_Beige,				*,		58,		20
		Bear_Dark,				*,		58,		20
		Bear_Pink,				*,		58,		20
		Bear_White,				*,		58,		20					
		

	<Category> Drinks
    
    	SodaCan_Cola, 			*,		56, 		-15
		SodaCan_Kvass, 			*,		56, 		-15
		SodaCan_Pipsi, 			*,		56, 		-15
		SodaCan_Spite, 			*,		56, 		-15
		Vodka,					*,		150,		-15		
		------------------------------------------------------------, *, -1, -1		
		WaterBottle,			*,		50,		    -15
		Canteen,				*,		300,		-15
		------------------------------------------------------------, *, -1, -1	
  		PowderedMilk,			*,      10,	       -10  
        BoxCerealCrunchin,		*,      130,	   -15
